case,brain_voxels,core_voxels,support_voxels,seg_voxels_tri,seg_voxels_near,core_brain_frac,seg_brain_frac,dice_tri,recall_tri,precision_tri,dice_near,recall_near,precision_near,dice_support,recall_support,seg_voxels_max,dice_max,recall_max,precision_max,dice_support_max,recall_support_max
Mets_001,43819,11588,66115,16,18,0.26445149364430953,0.0003651384102786463,0.0018958979662185454,0.6875,0.0009492578529513289,0.002067895915905566,0.6666666666666666,0.0010355540214014498,0.0004838880404046514,1.0,86,0.008908685968819599,0.6046511627906976,0.0044874007594062825,0.002598148064228637,1.0
Mets_002,41129,10829,62399,43,45,0.26329353983807047,0.001045491016071385,0.005334805003679176,0.6744186046511628,0.00267799427463293,0.0062534485929740665,0.7555555555555555,0.0031397174254317113,0.0013772781140898754,1.0,131,0.012956204379562044,0.5419847328244275,0.0065564687413426906,0.004189988805373421,1.0
Mets_003,43826,10221,65702,1,4,0.23321772463834253,2.281750559028887e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.044001034960352e-05,1.0,37,0.0,0.0,0.0,0.0011256636091209176,1.0
Mets_004,41381,10936,62699,0,0,0.2642758754017544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0.001095690284879474,0.375,0.0005486466715435259,0.0005102447580323686,1.0
Mets_005,42848,9802,64655,36,43,0.2287621359223301,0.0008401792382374906,0.0,0.0,0.0,0.00020314880650076182,0.023255813953488372,0.00010201999591920016,0.0011129832588768144,1.0,248,0.003383084577114428,0.06854838709677419,0.0017343399306264029,0.007642173705375715,1.0
Mets_006,41921,9996,63701,657,664,0.2384485102931705,0.015672336060685577,0.1062611470947151,0.8614916286149162,0.05662264905962385,0.10300187617260788,0.8268072289156626,0.054921968787515006,0.020417042170359553,1.0,1244,0.1402135231316726,0.6334405144694534,0.07883153261304522,0.03830933867118331,1.0
Mets_007,44192,11704,66579,84,91,0.2648443157132513,0.0019007965242577843,0.003902273498473023,0.27380952380952384,0.00196514012303486,0.0035608308605341245,0.23076923076923078,0.0017942583732057417,0.0025201386076234194,1.0,322,0.00848162314984201,0.15838509316770186,0.004357484620642516,0.00962616403342252,1.0
Mets_008,38233,8695,58825,20,21,0.22742133758794758,0.0005231083095754976,0.0,0.0,0.0,0.0,0.0,0.0,0.0006797518905599456,1.0,480,0.01111716621253406,0.10625,0.005865439907993099,0.016187505269370205,1.0
Mets_009,43848,11113,65734,51,48,0.2534437146506112,0.0011631089217296114,0.001970619849516302,0.21568627450980393,0.000989831728606137,0.002508735776364125,0.2916666666666667,0.0012597858364078107,0.001550505434369537,1.0,219,0.00953053300388281,0.2465753424657534,0.004859173940430127,0.0066410928994890305,1.0
Mets_010,42066,9493,64170,2,3,0.22566918651642656,4.754433509247373e-05,0.00042127435492364404,1.0,0.00021068155482987464,0.00042122999157540015,0.6666666666666666,0.00021068155482987464,6.233248145608676e-05,1.0,104,0.01333750130249036,0.6153846153846154,0.0067418097545559885,0.0032361452531350157,1.0
