case,prop1_affinity_residual,prop2_rel_dev,prop3_lipschitz_measured,prop4_max_dev_from_linear,prop4_argmax_step,monotone
Mets_001,6.20402683473541e-16,1.747907802369523e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_002,5.872017305104823e-16,1.445469526825919e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_003,4.113161949287881e-16,1.6377982792053323e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_004,6.574105212647339e-16,1.733939646958215e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_005,7.052271274810031e-16,1.4643790588581425e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_006,3.774710739695974e-16,1.6746468815651592e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_007,6.744185462986292e-16,1.8516632953135278e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_008,4.772205549878295e-16,1.432671043190387e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_009,8.229861136298766e-16,1.8833409982860547e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_010,7.11465285012465e-16,1.7223685174351956e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_011,2.793550682161396e-16,1.6359460292388982e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_012,5.480455125803653e-16,1.735946158970411e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_013,3.853251700780575e-16,1.5361506112854246e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_014,4.501865643335759e-16,1.5888918153915742e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_015,5.468367820610625e-16,1.5233764680053403e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_016,4.424994608187414e-16,1.415204296451049e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_017,5.326003175869673e-16,1.374293603165653e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_018,5.53327878431088e-16,1.695601969531559e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_019,6.465867811216056e-16,1.369421125498428e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_020,4.297250267835839e-16,1.719175387455153e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_021,3.5685191564617803e-16,1.841790913633114e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_022,4.4173492068379305e-16,1.5258596191423276e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_023,4.225443201599637e-16,1.518958223585251e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_024,7.3103509316848e-16,1.658531085460003e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_025,6.826230993505562e-16,1.5070860040874558e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_026,8.144247567684069e-16,1.6340981643798427e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_027,6.377742486936169e-16,1.7427175105312541e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_028,5.328324824018725e-16,1.5717572758809507e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_029,3.9757024947768965e-16,1.548585790948729e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_030,6.815877180486946e-16,1.7518317774291007e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_031,1.016625901926292e-15,1.549150161339796e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_032,7.744496931467844e-16,1.868276448623904e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_033,4.393097648747237e-16,1.6827555452955503e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_034,8.545206700507983e-16,1.640107262063321e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_035,3.434788177752583e-16,1.6162124922809556e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_036,4.447545054737429e-16,1.9155708279552165e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_037,4.523144868134375e-16,1.677094561195859e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_038,4.190866562242066e-16,1.2095354161548039e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_039,5.004919727272562e-16,1.5772602169964947e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_040,4.840267795319753e-16,1.2776519756522356e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_041,3.794485477460707e-16,1.6184915225746594e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_042,4.977011270892873e-16,1.522108010381708e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_043,4.4357830558688975e-16,1.5409335821197672e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_044,7.213944769479072e-16,1.5093487511012767e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_045,2.875214042482725e-16,1.403617824489545e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_046,6.323576479271752e-16,1.3914373184036902e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_047,3.80617473654822e-16,1.6797745487143843e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_048,4.669405755096035e-16,1.4188731413950601e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_049,3.209141506712515e-16,1.6369363014493013e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_050,6.13559563732282e-16,1.7547229572904164e-07,0.019454598426818848,0.1865058325395928,56,True
Mets_051,4.443551410044855e-16,1.32100670920442e-07,0.019454598426818848,0.1865058325395928,56,True
